No.,山名,エリア,標高,"難易度
★=5段階
☆=3段階","定数
数値=体力度
☆=3段階",参考日程,緯度経度
1,利尻岳,北海道,1719m,★★★,37,日帰り,"45度10分43秒, 141度14分31秒"
2,羅臼岳,北海道,1661m,★★★,39,日帰り,"44度04分33秒, 145度07分20秒"
3,斜里岳,北海道,1547m,★★★,29,日帰り,"43度45分56秒, 144度43分04秒"
4,阿寒岳,北海道,1499m,★★,27,日帰り,"43度27分15秒, 144度09分53秒"
5,大雪山,北海道,2290m,★★★,30,日帰り,"43度39分49秒, 142度51分15秒"
6,トムラウシ山,北海道,2141m,★★★,67,1泊2日,"43度31分38秒, 142度50分56秒"
7,十勝岳,北海道,2077m,★★★,40,日帰り,"43度25分04秒, 142度41分11秒"
8,幌尻岳,北海道,2052m,★★★★,64,2泊3日,"42度43分10秒, 142度40分58秒"
9,後方羊蹄山,北海道,1898m,★★★,42,日帰り,"42度49分36秒, 140度48分41秒"
10,岩木山,東北,1625m,★★★,32,日帰り,"40度39分21秒, 140度18分11秒"
11,八甲田山,東北,1585m,★★,20,日帰り,"40度39分32秒, 140度52分38秒"
12,八幡平,東北,1613m,★★,16,日帰り,"39度57分28秒, 140度51分15秒"
13,岩手山,東北,2038m,★★★,37,日帰り,"39度51分09秒, 141度00分04秒"
14,早池峰山,東北,1917m,★★,19,日帰り,"39度33分31秒, 141度29分19秒"
15,鳥海山,東北,2236m,★★★,34,日帰り,"39度05分57秒, 140度02分56秒"
16,月山,東北,1984m,★★,22,日帰り,"42度46分12秒, 140度12分54秒"
17,朝日連峰,東北,1870m,☆☆,☆☆☆,2泊3日,"38度15分38秒, 139度55分20秒"
18,蔵王山,東北,1841m,★★,14,日帰り,"38度08分37, 140度26分24秒"
19,飯豊連峰,東北,2105m,☆☆☆,☆☆☆,2泊3日,"37度51分17秒, 139度42分26秒"
20,吾妻山,東北,2035m,☆☆,☆☆☆,1泊2日,"37度44分18秒, 140度08分27秒"
21,安達太良山,東北,1700m,☆☆,☆,日帰り,"37度37分16秒, 140度17分16秒"
22,磐梯山,東北,1819m,☆☆,☆☆,日帰り,"37度36分04秒, 140度04分20秒"
23,会津駒ヶ岳,東北,2132m,☆☆,☆☆,1泊2日,"37度02分51秒, 139度21分13秒"
24,那須岳,北関東,1915m,☆☆,☆☆,1泊2日,"37度07分29秒, 139度57分47秒"
